	cognitiveatlas	neurosynth
0	anticipation	anticipation
1	anticipation	anticipation
2	anticipation	anticipatory
3	belief	beliefs
4	belief	beliefs
5	addiction	addiction
6	learning	learning
7	learning	learning
8	learning	learners
9	learning	learning
10	empathy	empathy
11	movement	movements
12	movement	movements
13	adaptation	adaptive
14	adaptation	adaptive
15	adaptation	adaptive
16	adaptation	adaptive
17	comprehension	comprehensive
18	comprehension	comprehensive
19	activation	activity
20	activation	activity
21	activation	activity
22	activation	activity
23	activation	activity
24	activation	activity
25	activation	activity
26	activation	activity
27	activation	activity
28	activation	activity
29	naming	naming
30	naming	naming
31	naming	naming
32	naming	naming
33	naming	naming
34	habit	habituation
35	attachment	attachment
36	thought	thoughts
37	thought	thoughts
38	goal	goals
39	goal	goals
40	reading	reading
41	reading	readers
42	reading	reading
43	eating	eating
44	representation	representations
45	representation	representations
46	representation	representations
47	coordination	coordination
48	coordination	coordination
49	coordination	coordination
50	coordination	coordination
51	rule	rules
52	rule	rules
53	memory	memory
54	memory	memory
55	fear	fearful
56	fear	fearful
57	emotion	emotions
58	emotion	emotions
59	emotion	emotions
60	emotion	emotions
61	framing	frames
62	framing	frames
63	framing	framework
64	intention	intentions
65	intention	intentions
66	intention	intentions
67	distraction	distraction
68	distraction	distraction
69	distraction	distraction
70	distraction	distractors
71	distraction	distractors
72	happiness	happy
73	happiness	happy
74	uncertainty	uncertainty
75	agency	agency
76	salience	saliency
77	salience	saliency
78	discrimination	discriminative
79	discrimination	discriminative
80	discrimination	discriminative
81	discrimination	discriminative
82	discrimination	discriminative
83	imagery	imagery
84	skill	skills
85	skill	skills
86	skill	skills
87	awareness	awareness
88	awareness	awareness
89	risk	risk
90	risk	risky
91	anxiety	anxiety
92	utility	utilizing
93	utility	utilizing
94	utility	utilizing
95	utility	utilizing
96	consolidation	consolidation
97	interoception	interoceptive
98	rehearsal	rehearsal
99	rhythm	rhythms
100	rhythm	rhythmic
101	rhythm	rhythms
102	recognition	recognition
103	manipulation	manipulations
104	manipulation	manipulations
105	manipulation	manipulations
106	manipulation	manipulations
107	manipulation	manipulations
108	manipulation	manipulations
109	meaning	means
110	meaning	means
111	meaning	meaningful
112	meaning	meaningless
113	meaning	means
114	meaning	means
115	maintenance	maintenance
116	imagination	imagining
117	imagination	imagining
118	imagination	imagining
119	imagination	imagining
120	egocentric	egocentric
121	extinction	extinction
122	nociception	nociceptive
123	orthography	orthography
124	humor	humor
125	cueing	cues
126	cueing	cues
127	cueing	cues
128	focus	focus
129	focus	focusing
130	focus	focusing
131	localization	localizer
132	localization	localizer
133	localization	localizer
134	localization	localizer
135	localization	localizer
136	navigation	navigation
137	olfaction	olfactory
138	attention	attentional
139	attention	attentional
140	gustation	gustatory
141	familiarity	familiarity
142	familiarity	familiarity
143	proprioception	proprioceptive
144	audition	auditory
145	stress	stress
146	feedback	feedback
147	morphology	morphology
148	morphology	morphology
149	monitoring	monitoring
150	monitoring	monitoring
151	monitoring	monitoring
152	metaphor	metaphors
153	metaphor	metaphors
154	openness	open
155	surprise	surprise
156	surprise	surprisingly
157	analogy	analogous
158	analogy	analogous
159	perception	perceptions
160	perception	perceptions
161	perception	perceptions
162	perception	perceptually
163	perception	perceptually
164	sadness	sadness
165	sadness	sadness
166	punishment	punishment
167	updating	updating
168	action	actions
169	action	actions
170	internalizing	internally
171	internalizing	internally
172	narrative	narrative
173	hallucination	hallucinations
174	expectancy	expected
175	expectancy	expected
176	expectancy	expected
177	expectancy	expected
178	loss	losses
179	loss	losses
180	reward	rewards
181	reward	rewards
182	reward	rewards
183	induction	induction
184	inhibition	inhibition
185	inhibition	inhibition
186	inhibition	inhibition
187	inhibition	inhibition
188	inhibition	inhibitory
189	pain	painful
190	pain	painful
191	mood	mood
192	resource	resources
193	resource	resources
194	generalization	generators
195	generalization	generators
196	generalization	generators
197	generalization	generators
198	generalization	generators
199	generalization	generators
200	generalization	generators
201	generalization	generators
202	forgetting	forgetting
203	remembering	remembering
204	remembering	remembering
205	remembering	remembering
206	externalizing	externally
207	externalizing	externally
208	planning	planar
209	planning	plane
210	planning	plans
211	planning	plans
212	planning	planum
213	consciousness	consciousness
214	consciousness	consciousness
215	expertise	expertise
216	insight	insights
217	insight	insights
218	language	languages
219	language	languages
220	hyperactivity	hyperactivation
221	hyperactivity	hyperactivity
222	syntax	syntax
223	competition	competitive
224	competition	competitive
225	listening	listening
226	listening	listening
227	listening	listening
228	articulation	articulation
229	articulation	articulatory
230	effort	effortful
231	effort	effortful
232	decision	decisions
233	decision	decisions
234	conceptualization	conceptual
235	sleep	sleep
236	arousal	arousing
237	arousal	arousing
238	integration	integrity
239	integration	integrity
240	integration	integrity
241	integration	integrity
242	integration	integrity
243	integration	integrity
244	integration	integrity
245	strategy	strategy
246	strategy	strategy
247	judgment	judgments
248	judgment	judgments
249	categorization	categorized
250	categorization	category
251	categorization	categorized
252	categorization	categorized
253	categorization	category
254	somatosensation	somatosensory
255	balance	balanced
256	balance	balanced
257	deception	deception
258	obsession	obsessive
259	attitude	attitudes
260	encoding	encoding
261	encoding	encoding
262	encoding	encoding
263	encoding	encoding
264	concept	concepts
265	concept	concepts
266	concept	conceptual
267	knowledge	knowledge
268	anhedonia	anhedonia
269	lying	lying
270	lying	lying
271	intelligence	intelligibility
272	intelligence	intelligibility
273	discourse	discourse
274	guilt	guilt
275	regret	regret
276	retention	retention
277	context	contexts
278	context	contexts
279	context	contextual
280	fatigue	fatigue
281	appetite	appetitive
282	prosody	prosody
283	automaticity	automatically
284	automaticity	automatically
285	phonetics	phonetic
286	communication	community
287	communication	community
288	communication	community
289	reasoning	reasoning
290	detection	detection
291	detection	detection
292	detection	detection
293	detection	detection
294	detection	detection
295	gaze	gaze
296	melody	melody
297	association	associative
298	association	associative
299	association	associative
300	association	associative
301	association	associative
302	association	associative
303	imageability	imaging
304	imageability	imaging
305	imageability	imagery
306	imageability	imaging
307	imageability	imagining
308	imageability	imagining
309	imageability	imagining
310	imageability	imaging
311	imageability	imagining
312	crossmodal	crossmodal
313	efficiency	efficient
314	efficiency	efficient
315	search	search
316	inference	inferring
317	inference	inferring
318	inference	inferring
319	inference	inferior
320	inference	inferring
321	priming	priming
322	priming	priming
323	priming	priming
324	psychosis	psychosis
325	excitation	excitability
326	interference	interference
327	interference	interference
328	conversation	conversion
329	conversation	conversion
330	rigidity	rigid
331	valence	valenced
332	valence	valenced
333	multisensory	multisensory
334	fixation	fixation
335	retrieval	retrieving
336	retrieval	retrieving
337	retrieval	retrieving
338	retrieval	retrieving
339	recall	recalled
340	recall	recalled
341	impulsivity	impulsivity
342	impulsivity	impulsivity
343	impulsivity	impulsivity
