	contrasts	copes	task
0	RANDOM	cope1.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
1	TOM	cope2.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
2	RANDOM-TOM	cope3.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
3	neg_RANDOM	cope4.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
4	neg_TOM	cope5.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
5	TOM-RANDOM	cope6.feat/stats/cope1.nii.gz	tfMRI_SOCIAL
0	FACES	cope1.feat/stats/cope1.nii.gz	tfMRI_EMOTION
1	SHAPES	cope2.feat/stats/cope1.nii.gz	tfMRI_EMOTION
2	FACES-SHAPES	cope3.feat/stats/cope1.nii.gz	tfMRI_EMOTION
3	neg_FACES	cope4.feat/stats/cope1.nii.gz	tfMRI_EMOTION
4	neg_SHAPES	cope5.feat/stats/cope1.nii.gz	tfMRI_EMOTION
5	SHAPES-FACES	cope6.feat/stats/cope1.nii.gz	tfMRI_EMOTION
0	MATCH	cope1.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
1	REL	cope2.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
2	MATCH-REL	cope3.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
3	REL-MATCH	cope4.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
4	neg_MATCH	cope5.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
5	neg_REL	cope6.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL
0	MATH	cope1.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
1	STORY	cope2.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
2	MATH-STORY	cope3.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
3	STORY-MATH	cope4.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
4	neg_MATH	cope5.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
5	neg_STORY	cope6.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE
0	PUNISH	cope1.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
1	REWARD	cope2.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
2	PUNISH-REWARD	cope3.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
3	neg_PUNISH	cope4.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
4	neg_REWARD	cope5.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
5	REWARD-PUNISH	cope6.feat/stats/cope1.nii.gz	tfMRI_GAMBLING
0	2BK_BODY	cope1.feat/stats/cope1.nii.gz	tfMRI_WM
1	2BK_FACE	cope2.feat/stats/cope1.nii.gz	tfMRI_WM
2	2BK_PLACE	cope3.feat/stats/cope1.nii.gz	tfMRI_WM
3	2BK_TOOL	cope4.feat/stats/cope1.nii.gz	tfMRI_WM
4	0BK_BODY	cope5.feat/stats/cope1.nii.gz	tfMRI_WM
5	0BK_FACE	cope6.feat/stats/cope1.nii.gz	tfMRI_WM
6	0BK_PLACE	cope7.feat/stats/cope1.nii.gz	tfMRI_WM
7	0BK_TOOL	cope8.feat/stats/cope1.nii.gz	tfMRI_WM
8	2BK	cope9.feat/stats/cope1.nii.gz	tfMRI_WM
9	0BK	cope10.feat/stats/cope1.nii.gz	tfMRI_WM
10	2BK-0BK	cope11.feat/stats/cope1.nii.gz	tfMRI_WM
11	neg_2BK	cope12.feat/stats/cope1.nii.gz	tfMRI_WM
12	neg_0BK	cope13.feat/stats/cope1.nii.gz	tfMRI_WM
13	0BK-2BK	cope14.feat/stats/cope1.nii.gz	tfMRI_WM
14	BODY	cope15.feat/stats/cope1.nii.gz	tfMRI_WM
15	FACE	cope16.feat/stats/cope1.nii.gz	tfMRI_WM
16	PLACE	cope17.feat/stats/cope1.nii.gz	tfMRI_WM
17	TOOL	cope18.feat/stats/cope1.nii.gz	tfMRI_WM
18	BODY-AVG	cope19.feat/stats/cope1.nii.gz	tfMRI_WM
19	FACE-AVG	cope20.feat/stats/cope1.nii.gz	tfMRI_WM
20	PLACE-AVG	cope21.feat/stats/cope1.nii.gz	tfMRI_WM
21	TOOL-AVG	cope22.feat/stats/cope1.nii.gz	tfMRI_WM
22	neg_BODY	cope23.feat/stats/cope1.nii.gz	tfMRI_WM
23	neg_FACE	cope24.feat/stats/cope1.nii.gz	tfMRI_WM
24	neg_PLACE	cope25.feat/stats/cope1.nii.gz	tfMRI_WM
25	neg_TOOL	cope26.feat/stats/cope1.nii.gz	tfMRI_WM
26	AVG-BODY	cope27.feat/stats/cope1.nii.gz	tfMRI_WM
27	AVG-FACE	cope28.feat/stats/cope1.nii.gz	tfMRI_WM
28	AVG-PLACE	cope29.feat/stats/cope1.nii.gz	tfMRI_WM
29	AVG-TOOL	cope30.feat/stats/cope1.nii.gz	tfMRI_WM
0	CUE	cope1.feat/stats/cope1.nii.gz	tfMRI_MOTOR
1	LF	cope2.feat/stats/cope1.nii.gz	tfMRI_MOTOR
2	LH	cope3.feat/stats/cope1.nii.gz	tfMRI_MOTOR
3	RF	cope4.feat/stats/cope1.nii.gz	tfMRI_MOTOR
4	RH	cope5.feat/stats/cope1.nii.gz	tfMRI_MOTOR
5	T	cope6.feat/stats/cope1.nii.gz	tfMRI_MOTOR
6	AVG	cope7.feat/stats/cope1.nii.gz	tfMRI_MOTOR
7	CUE-AVG	cope8.feat/stats/cope1.nii.gz	tfMRI_MOTOR
8	LF-AVG	cope9.feat/stats/cope1.nii.gz	tfMRI_MOTOR
9	LH-AVG	cope10.feat/stats/cope1.nii.gz	tfMRI_MOTOR
10	RF-AVG	cope11.feat/stats/cope1.nii.gz	tfMRI_MOTOR
11	RH-AVG	cope12.feat/stats/cope1.nii.gz	tfMRI_MOTOR
12	T-AVG	cope13.feat/stats/cope1.nii.gz	tfMRI_MOTOR
13	neg_CUE	cope14.feat/stats/cope1.nii.gz	tfMRI_MOTOR
14	neg_LF	cope15.feat/stats/cope1.nii.gz	tfMRI_MOTOR
15	neg_LH	cope16.feat/stats/cope1.nii.gz	tfMRI_MOTOR
16	neg_RF	cope17.feat/stats/cope1.nii.gz	tfMRI_MOTOR
17	neg_RH	cope18.feat/stats/cope1.nii.gz	tfMRI_MOTOR
18	neg_T	cope19.feat/stats/cope1.nii.gz	tfMRI_MOTOR
19	neg_AVG	cope20.feat/stats/cope1.nii.gz	tfMRI_MOTOR
20	AVG-CUE	cope21.feat/stats/cope1.nii.gz	tfMRI_MOTOR
21	AVG-LF	cope22.feat/stats/cope1.nii.gz	tfMRI_MOTOR
22	AVG-LH	cope23.feat/stats/cope1.nii.gz	tfMRI_MOTOR
23	AVG-RF	cope24.feat/stats/cope1.nii.gz	tfMRI_MOTOR
24	AVG-RH	cope25.feat/stats/cope1.nii.gz	tfMRI_MOTOR
25	AVG-T	cope26.feat/stats/cope1.nii.gz	tfMRI_MOTOR
